,wo_coef,cc_coef,cc_exp
PEPE,2.718651939492707,0.3224214015992794,0.5548913480805809
MOG,6.766640670465076,0.6709658245747232,0.5792719155465074
FARTCOIN,13.385123183357843,0.40194082849925317,0.4799787379220083
SPX,8.519345792860486,0.49368213058706933,0.5219342030938502
GIGA,8.19871576315697,0.4855035893817483,0.5002702933111609
POPCAT,7.77940840239758,0.2850475134106652,0.4307918130495252
BONK,2.6054691675113477,0.3169412214851054,0.5387206363706714
WIF,3.7706598780404317,0.3247350790542719,0.5171867585725095
TOSHI,14.322931704575915,0.7102601309661665,0.5452797976847746
BRETT,5.210818559754399,0.42537756220314493,0.5127373250837651
FLOKI,3.8218736753316485,0.28102789565008596,0.4678308564742738
FWOG,10.604594066650785,0.4952890536209937,0.505870133596581
HARRYP,5.780533710059157,0.4199819526135221,0.48096783505170465
